customer_id,age,snapshot_date,occ_accountant,occ_architect,occ_developer,occ_doctor,occ_engineer,occ_entrepreneur,occ_journalist,occ_lawyer,occ_manager,occ_mechanic,occ_media_manager,occ_musician,occ_scientist,occ_teacher,occ_unknown,occ_writer,annual_income,monthly_inhand_salary,num_bank_accounts,num_credit_card,interest_rate,num_of_loan,delay_from_due_date,num_of_delayed_payment,changed_credit_limit,num_credit_inquiries,outstanding_debt,credit_utilization_ratio,payment_of_min_amount,total_emi_per_month,amount_invested_monthly,monthly_balance,credit_history_age_months,mix_bad,mix_good,mix_standard,mix_unknown,behav_high_spent_large_value_payments,behav_high_spent_medium_value_payments,behav_high_spent_small_value_payments,behav_low_spent_large_value_payments,behav_low_spent_medium_value_payments,behav_low_spent_small_value_payments,behav_unknown,loan_type_count,emi_to_income_ratio,debt_to_income,delayed_payment_rate,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,default_flag,month
CUS_0x102e,26.0,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,50807.44,4197.953333333334,8,4,11,4.0,12,9.0,2.6,4.0,869.59,30.31145401414816,-1,88.75991924748364,65.27556452739218,515.7598495584575,274,0,0,0,1,0,1,0,0,0,0,0,4,0.0211436174248761,0.0171154067199607,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-04
CUS_0x1075,39.0,2024-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24709.33,1933.468717801689,5,5,6,3.0,27,11.0,7.0,30.0,413.18,32.76125199236517,0,196.02716159875592,120.55873988527756,334.6672973809443,214,0,0,0,1,0,0,0,0,0,1,0,3,0.101386259727871,0.0167216189188456,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-05
CUS_0x109d,45.0,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49140.87,4377.0725,10,6,27,6.0,35,18.0,16.66,11.0,2950.8,31.16378561923996,-1,154.17242632517255,301.5937949187359,271.94102875609155,78,1,0,0,0,0,0,0,0,0,1,0,6,0.0352227262228744,0.0600477769319102,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-04
CUS_0x10dd,25.0,2024-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,105645.6,9090.8,4,3,5,4.0,28,19.0,2.41,4.0,1336.91,40.455481525263146,0,315.40610064414074,170.89918722293208,662.7747121329272,256,0,0,0,1,1,0,0,0,0,0,0,4,0.0346950874119044,0.0126546680600043,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-06
CUS_0x1109,43.0,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,76284.72,6451.06,6,10,18,6.0,24,12.0,6.69,11.0,1957.32,29.3644336737857,1,222.95900228494304,163.64946924134182,508.4975284737153,241,0,0,1,0,0,1,0,0,0,0,0,6,0.0345616072839104,0.025658087229002,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2024-06
CUS_0x112e,32.0,2024-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20162.26,1872.188333333333,8,4,11,4.0,13,10.0,1.71,2.0,660.26,34.49702609636193,0,66.24488172410403,209.33968673482013,201.6342648744092,237,0,0,1,0,0,0,0,0,0,1,0,4,0.0353836633551489,0.0327473209848499,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-04
CUS_0x1183,22.0,2024-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,134393.73,10944.4775,1,3,12,2.0,13,-1.0,11.49,3.0,945.29,34.951282585470125,0,136.0306304787093,178.10099644066003,1030.3161230806306,308,0,1,0,0,0,1,0,0,0,0,0,2,0.0124291571231892,0.007033735874434,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-04
CUS_0x1185,25.0,2024-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18963.65,1794.3041666666668,4,8,29,6.0,27,7.0,13.04,11.0,2422.18,26.01558081219003,1,64.12529496657565,60.75560555668723,304.5495161434038,84,0,0,1,0,0,1,0,0,0,0,0,6,0.0357382522750884,0.1277275208095487,1.1666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-05
CUS_0x1190,45.0,2024-05-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,44134.06,3182.4816954086864,4,4,9,3.0,29,19.0,0.9000000000000004,5.0,809.59,33.943525567429425,-1,551.2715538571302,97.11016167424476,467.158755726605,281,0,1,0,0,0,0,0,1,0,0,0,3,0.1732206518744288,0.0183438822532982,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-05
CUS_0x1220,31.0,2024-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128494.52,10580.876666666669,4,4,9,2.0,0,0.0,10.33,3.0,722.25,31.238780973394945,0,176.90460970962792,10000.0,995.2348625854976,344,0,1,0,0,1,0,0,0,0,0,0,2,0.0167192771717051,0.0056208622749047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-04
